subcategory_id,category_id,subcategory_name_en,event_date,event_type,title,significance,source_ids
semicon-01,semicon,Advanced Logic Semiconductors & Foundry Revival,2026-04-11,subsidy award,METI approves additional JPY631.5bn for Rapidus,Cumulative state support trending toward ~JPY2.9tn; 2nm push.,rapidus|metisemi
energy-08,energy,"Carbon Pricing, GX-ETS & Transition Finance",2026-04-01,implementation,Full-scale GX-ETS begins (FY2026),Emissions trading moves from voluntary GX League to full scheme.,gxets|gx2040|sep7
labor-08,labor,Universal / Flexible Childcare & “Kodomo Dare Demo Tsuen”,2026-04-01,implementation,Kodomo Dare Demo Tsuen nationwide benefit (FY2026),Time-based childcare regardless of parental employment.,kdt|cfs
health-01,health,Medical Fee Revision & Provider Reimbursement,2026-02-13,reimbursement revision,FY2026 medical fee revision adopted,Fees raised for wages/inflation; drug prices cut.,medfee|drugprice
semicon-01,semicon,Advanced Logic Semiconductors & Foundry Revival,2026-02-01,capital raise,Rapidus secures JPY267.6bn funding round,Government + private capital toward FY2031 IPO target.,rapidus|metisemi
consumer-07,consumer,Inbound Tourism: Strategic Visitor Growth & Consumption Capture,2026-01-01,data,Record 42.7mn inbound visitors in 2025,Toward 2030 target of 60mn visitors and JPY15tn spend.,tourism|jnto
defense-01,defense,Stand-Off Missiles & Counterstrike Capability,2025-12-26,budget approval,FY2026 record defense budget approved,Fourth year of JPY43tn program; spending toward ~2% of GDP.,dbp|mod26
labor-01,labor,"Structural Wage Growth, Minimum Wage & Price Pass-Through",2025-08-01,council decision,"FY2025 minimum wage set at JPY1,121 (+6.26%)","Structural wage growth; government target toward JPY1,500.",mwage|newcap
markets-06,markets,"Corporate Governance Code, Board Reform & Stewardship",2025-06-01,code revision,Stewardship Code revised,Pushes governance from form to substance; CG Code panel active.,cgcode|tsepbr
food-01,food,"Food Security, Self-Sufficiency & Supply Resilience",2025-04-01,plan,2025 Basic Plan for Food & Agriculture,Food security at center; paddy-policy review from FY2027.,maffbasic
consumer-11,consumer,"Cashless Payments, Merchant Digitization & Consumption Data",2025-03-31,data,Cashless ratio reaches 58.0% (2025),Interim 65% by 2030; long-term 80% goal.,cashless
energy-01,energy,"Nuclear Restarts, Life Extension & Nuclear Supply Chain",2025-02-18,cabinet decision,7th Strategic Energy Plan & GX2040 approved,Sets FY2040 ~20% nuclear and 40-50% renewables; maximize-nuclear stance.,sep7|gx2040
health-07,health,"Healthcare DX, Electronic Medical Records & Nationwide Data Platform",2025-01-01,implementation,Healthcare DX roadmap progresses,"Nationwide platform, EMR standardization, e-prescriptions.",healthdx|digiagency
digital-01,digital,"AI Compute, GPU Cloud & Sovereign AI Infrastructure",2025-01-01,subsidy,~JPY72.5bn approved for cloud/AI compute,Sovereign AI infrastructure under economic-security logic.,aicompute
energy-07,energy,"CCS, CCUS & Carbon Management Infrastructure",2024-05-01,law,CCS Business Act enacted,Commercial CCS target 2030; advanced projects selected.,ccsact|gx2040
energy-05,energy,"Hydrogen, Ammonia & Low-Carbon Fuels",2024-05-01,law,Hydrogen Society Promotion Act framework,Price-gap support for low-carbon hydrogen/derivatives.,h2act|sep7
labor-11,labor,"Work-Style Reform, Overtime Caps & 2024 Problem Sectors",2024-04-01,implementation,Overtime caps take effect (2024 problem),"Construction, drivers, doctors; productivity and pricing pressure.",workstyle|logi2024
markets-10,markets,Monetary Policy Normalization & Yield-Curve Repricing,2024-03-19,monetary policy,BOJ exits negative interest rates,"Begins normalization; re-prices banks, insurers, real estate.",boj|mofjgb
markets-01,markets,New NISA & Household Savings-to-Investment Shift,2024-01-01,implementation,New NISA launches,Permanent tax-free investing; ~JPY15tn net fund inflows in 2024.,nisa|amcenter
infra-03,infra,"i-Construction 2.0, Construction Automation & Infrastructure DX",2024-01-01,policy adoption,i-Construction 2.0 adopted,Construction-site automation amid labor shortage.,iconstruction|resilience
markets-05,markets,"TSE Cost-of-Capital, PBR & Capital Efficiency Reform",2023-03-31,disclosure request,TSE cost-of-capital / PBR request,"Drives buybacks, ROE focus; monthly disclosure list.",tsepbr|jpx
defense-11,defense,Economic Security Supply Chains & Specified Critical Products,2022-05-18,law,Economic Security Promotion Act enacted,Specified critical products; supply-chain subsidies.,esec
food-06,food,"Sustainable Inputs: Pesticide Reduction, Organic Farming & Bio-Inputs",2021-05-01,strategy,MIDORI Strategy launched,"2050 sustainability targets: organic, pesticide, fertilizer.",midori|maffbasic
